                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62141,                 1.8781,                 1.1164,                0.58471,                0.77035,                0.67206,                0.58694,                0.47313,                  2.075,                  1.008,             0.00054921,             0.00054921,             0.00054921
                      2,                0.63107,                 1.4137,                 1.1082,                0.69746,                0.81578,                0.77657,                0.63342,                0.62987,                 1.5763,                 1.1361,               0.001083,               0.001083,               0.001083
                      3,                 0.6614,                 1.2714,                 1.1199,                0.60809,                0.69453,                0.58677,                0.48141,                0.62936,                 1.7519,                 1.1626,              0.0015948,              0.0015948,              0.0015948
                      4,                0.67816,                  1.243,                 1.1018,                0.65464,                0.77638,                0.76361,                0.59485,                0.77793,                 1.6243,                  1.344,               0.001568,               0.001568,               0.001568
                      5,                0.66447,                 1.1248,                 1.1049,                0.62392,                0.59526,                0.58877,                 0.5016,                0.55693,                 2.0978,                 1.1088,               0.001535,               0.001535,               0.001535
                      6,                0.65405,                 1.0732,                 1.1036,                0.72686,                0.80385,                0.84201,                0.73517,                0.53452,                0.97384,                 1.0685,               0.001502,               0.001502,               0.001502
                      7,                0.62102,                 1.0309,                  1.082,                0.81464,                0.77412,                0.84201,                0.73072,                0.53164,                0.97717,                 1.0476,               0.001469,               0.001469,               0.001469
                      8,                0.59895,                0.94973,                  1.072,                0.72143,                0.74374,                  0.767,                0.66015,                0.54857,                  1.011,                 1.0686,               0.001436,               0.001436,               0.001436
                      9,                0.57812,                0.93872,                 1.0636,                 0.7623,                0.80928,                0.83889,                0.74321,                0.48334,                0.88593,                 1.0111,              0.0014029,              0.0014029,              0.0014029
                     10,                0.59678,                0.93307,                 1.0659,                0.75128,                0.77141,                0.82113,                0.73754,                0.46676,                0.92682,                 1.0202,              0.0013699,              0.0013699,              0.0013699
                     11,                0.59429,                0.89112,                 1.0786,                0.67442,                0.75446,                0.77102,                0.67705,                0.48586,                0.96109,                 1.0349,              0.0013369,              0.0013369,              0.0013369
                     12,                0.59384,                0.87399,                 1.0735,                0.81939,                0.81451,                0.88836,                0.80503,                0.44438,                 0.6858,                0.97249,              0.0013039,              0.0013039,              0.0013039
                     13,                0.56045,                0.84313,                 1.0579,                0.82553,                0.81953,                0.87686,                 0.7913,                0.44166,                0.70367,                0.99359,              0.0012709,              0.0012709,              0.0012709
                     14,                 0.5802,                 0.8332,                 1.0644,                0.79221,                 0.7818,                0.85973,                0.77769,                0.43417,                0.79257,                0.97043,              0.0012379,              0.0012379,              0.0012379
                     15,                0.54916,                0.79178,                 1.0401,                0.72791,                0.87871,                0.87198,                0.79994,                0.41888,                0.66155,                0.96662,              0.0012049,              0.0012049,              0.0012049
                     16,                0.56736,                0.79514,                 1.0385,                0.78247,                0.83625,                0.87114,                0.79599,                0.43656,                0.68038,                0.98052,              0.0011719,              0.0011719,              0.0011719
                     17,                0.53619,                0.77273,                 1.0405,                 0.8209,                0.80548,                0.87733,                0.81051,                0.41078,                0.65903,                0.95478,              0.0011389,              0.0011389,              0.0011389
                     18,                0.52061,                0.78382,                 1.0328,                0.80032,                0.79532,                0.87461,                 0.7909,                0.43242,                0.72895,                0.99018,              0.0011059,              0.0011059,              0.0011059
                     19,                0.53054,                0.74582,                 1.0339,                0.81806,                0.81953,                0.88952,                0.81333,                0.42599,                0.65299,                 0.9794,              0.0010729,              0.0010729,              0.0010729
                     20,                0.53456,                0.72233,                 1.0256,                  0.804,                0.83066,                0.88849,                0.81236,                0.43614,                0.60384,                0.96756,              0.0010399,              0.0010399,              0.0010399
                     21,                0.51793,                0.70661,                 1.0268,                0.64229,                0.84215,                0.85466,                0.79364,                  0.396,                0.82169,                0.94992,              0.0010069,              0.0010069,              0.0010069
                     22,                0.50708,                 0.7032,                 1.0225,                0.80574,                0.83625,                0.88629,                0.82482,                0.39028,                0.62302,                  0.935,             0.00097386,             0.00097386,             0.00097386
                     23,                0.51793,                0.69077,                 1.0345,                0.79284,                0.86661,                0.88507,                0.81311,                0.39387,                0.59045,                 0.9559,             0.00094085,             0.00094085,             0.00094085
                     24,                0.48613,                0.67994,                 1.0115,                0.84565,                0.80973,                0.89133,                0.82671,                0.39906,                0.59388,                 0.9512,             0.00090785,             0.00090785,             0.00090785
                     25,                0.51144,                0.67999,                 1.0323,                0.80871,                0.83919,                0.89936,                0.83751,                0.39499,                0.59601,                0.93331,             0.00087484,             0.00087484,             0.00087484
                     26,                0.51932,                0.67915,                 1.0194,                0.78998,                0.87218,                0.89242,                0.80706,                0.41617,                0.56891,                 0.9411,             0.00084184,             0.00084184,             0.00084184
                     27,                 0.4733,                0.65411,                 1.0161,                0.80186,                0.79533,                0.88527,                0.82344,                0.38315,                0.64625,                0.92789,             0.00080883,             0.00080883,             0.00080883
                     28,                0.47771,                0.65521,                 1.0168,                0.79725,                0.79429,                0.87806,                0.82177,                0.36888,                0.59326,                0.92073,             0.00077582,             0.00077582,             0.00077582
                     29,                0.47895,                0.65365,                 1.0065,                0.80163,                0.88036,                0.89859,                0.83803,                0.36775,                0.53217,                0.92718,             0.00074282,             0.00074282,             0.00074282
                     30,                0.48071,                0.62647,                 1.0214,                0.83002,                0.88505,                0.91961,                0.85514,                0.37051,                0.49277,                0.92603,             0.00070981,             0.00070981,             0.00070981
                     31,                0.46407,                 0.6193,                 1.0052,                0.79865,                0.87088,                0.88538,                0.83166,                0.35613,                0.58149,                0.91208,              0.0006768,              0.0006768,              0.0006768
                     32,                0.47089,                0.62091,                 1.0049,                0.80692,                0.87218,                0.90271,                0.84068,                0.37217,                0.55281,                0.92541,              0.0006438,              0.0006438,              0.0006438
                     33,                 0.4691,                0.59585,                 1.0018,                0.81944,                0.85421,                0.90201,                0.85052,                0.35392,                 0.5313,                0.91148,             0.00061079,             0.00061079,             0.00061079
