                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.62141,                 1.8781,                 1.1164,                0.58471,                0.77035,                0.67206,                0.58694,                0.47313,                  2.075,                  1.008,             0.00054921,             0.00054921,             0.00054921
                      2,                 0.6298,                 1.4119,                 1.1058,                0.67394,                0.71557,                0.74532,                0.62169,                0.60746,                 1.7259,                 1.1205,              0.0010892,              0.0010892,              0.0010892
                      3,                0.66671,                 1.2763,                 1.1143,                0.53515,                0.65226,                0.56491,                0.43534,                0.77344,                  2.161,                  1.307,              0.0016136,              0.0016136,              0.0016136
                      4,                0.66667,                 1.2329,                 1.1068,                0.65347,                0.80777,                0.76146,                 0.6143,                0.67988,                 1.5162,                 1.2003,              0.0015963,              0.0015963,              0.0015963
                      5,                0.68545,                 1.1233,                 1.1224,                0.72246,                0.79801,                0.80124,                0.69281,                0.54919,                 1.2177,                 1.0955,              0.0015727,              0.0015727,              0.0015727
                      6,                  0.669,                 1.0937,                 1.1092,                0.76557,                0.79408,                0.85057,                0.72499,                0.57413,                0.99442,                 1.0847,              0.0015491,              0.0015491,              0.0015491
                      7,                0.63456,                 1.0378,                 1.0986,                0.78841,                0.77977,                 0.8457,                0.74414,                0.52833,                0.93193,                 1.0485,              0.0015255,              0.0015255,              0.0015255
                      8,                0.59479,                0.95851,                 1.0714,                0.66162,                0.82413,                0.78292,                0.69385,                0.47817,                 1.0131,                 1.0131,               0.001502,               0.001502,               0.001502
                      9,                 0.5944,                0.95674,                  1.076,                0.67918,                0.81566,                0.81193,                0.72259,                0.49263,                0.96232,                 1.0447,              0.0014784,              0.0014784,              0.0014784
                     10,                0.61396,                0.92987,                 1.0711,                0.69054,                0.78921,                0.77912,                0.69729,                0.47253,                 1.0194,                0.99748,              0.0014548,              0.0014548,              0.0014548
                     11,                0.58534,                0.86472,                 1.0716,                 0.6875,                0.72698,                0.76755,                0.68836,                 0.4675,                 1.1105,                 1.0187,              0.0014312,              0.0014312,              0.0014312
                     12,                0.60149,                 0.9072,                 1.0788,                0.79971,                0.82977,                 0.8726,                0.79559,                0.43804,                0.71537,                0.98716,              0.0014077,              0.0014077,              0.0014077
                     13,                0.56956,                0.85983,                 1.0683,                0.76286,                0.75023,                0.83353,                0.75197,                0.45739,                0.83898,                0.98299,              0.0013841,              0.0013841,              0.0013841
                     14,                0.56655,                0.83083,                 1.0541,                0.71287,                0.80518,                0.82591,                0.73113,                0.46259,                0.79255,                 1.0086,              0.0013605,              0.0013605,              0.0013605
                     15,                 0.5608,                0.80838,                 1.0477,                0.81766,                0.80378,                0.86864,                0.79064,                0.44328,                0.73078,                0.97626,              0.0013369,              0.0013369,              0.0013369
                     16,                0.57238,                0.82776,                 1.0401,                0.74873,                0.80423,                0.86492,                0.79824,                0.42584,                0.77207,                0.97529,              0.0013134,              0.0013134,              0.0013134
                     17,                0.55066,                0.77815,                 1.0516,                0.65755,                0.87434,                0.86903,                0.79547,                0.42164,                0.83387,                0.95975,              0.0012898,              0.0012898,              0.0012898
